DIRECTORIO,SECUENCIA_P,TAM_HOGAR,ORDEN,P3271,P6040,P6050,P6070,P6090,P6100,P6110,P6120,P6160,P6170,P3041,P3042,P3042S1,P3042S2,CLASE,P400,P401,P402,P403,P404,P3564,P405,P408,P409,P410,P410S1,P411,P411S1,P412,P412S1,P413,P414,P415,P416,P420,P3131S1,P3131S1A1,P3131S1A2,P3131S2,P3131S2A1,P3131S2A2,P3131S3,P3131S3A1,P3131S3A2,P3132S1,P3132S1A1,P3132S1A2,P3132S2,P3132S2A1,P3132S2A2,P3132S3,P3132S3A1,P3132S3A2,P3133S1,P3133S1A1,P3133S1A2,P3133S2,P3133S2A1,P3133S2A2,P3133S3,P3133S3A1,P3133S3A2,P3134S1,P3134S1A1,P3134S1A2,P3134S2,P3134S2A1,P3134S2A2,P3134S3,P3134S3A1,P3134S3A2,P3135S1,P3135S1A1,P3135S1A2,P3135S2,P3135S2A1,P3135S2A2,P3135S3,P3135S3A1,P3135S3A2,P3136S1,P3136S1A1,P3136S1A2,P3136S2,P3136S2A1,P3136S2A2,P3136S3,P3136S3A1,P3136S3A2,P3137,P3137S1,P3137S2,P3138,P3138S1,P3138S2,P3139,P3139S1,P3139S2,P3141,P3141S1,P3141S2,P3142,P3142S1,P3142S2,P3143,P3143S1,P3143S2,P3144,P3144S1,P3144S2,P3145,P3145S1,P3145S2,P3502,P3502S1,P3502S2,P3503,P3503S1,P3503S2,P3504,P3504S1,P3504S2,P423,RAMA4D_R4,RAMA2D_R4,FEX_C,AREA,OFICIO_C8
7984308,1,4,3,2,12,3,6,1,1,5,,1,1,1,4,0,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,104.70648538,52,
7984308,1,4,4,1,7,3,,1,1,5,,2,1,1,2,0,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,104.70648538,52,
7984309,1,4,4,2,14,3,6,1,1,5,,1,1,1,4,2,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,2,1,2,,,2,,,1,1,1,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,88.496579642,52,
7984317,1,2,2,2,10,3,6,1,1,5,,1,1,2,3,4,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,7,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,75.932907959,52,
7984321,1,3,3,1,8,3,,1,3,,,1,1,1,3,2,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,3,,,93.193543339,52,
7984326,1,3,2,2,11,3,6,1,1,5,,1,1,1,4,0,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,7,1,2,,,2,,,2,,,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,67.772709377,52,
7984329,1,2,2,1,5,3,,1,3,,,2,2,,1,0,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,4,,,86.515441164,52,
7984330,1,4,3,1,8,3,,1,3,,,1,1,1,3,1,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,104.70648538,52,
7984331,1,4,2,2,16,3,6,1,3,,,1,1,1,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,7,1,2,,,2,,,1,1,1,2,,,2,,,1,7,1,2,,,2,,,1,3,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,54.900204917,52,
7984333,1,3,3,1,12,3,6,1,3,,,1,1,1,4,0,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,33.136067354,52,
7984339,1,3,3,2,6,3,,1,1,5,,2,1,2,2,0,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,80.56260159,52,
7984341,1,6,6,1,16,9,6,1,3,,,1,1,2,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,1,1,1,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,48.303248694,52,
7984346,1,3,2,1,7,3,,1,2,5,,1,1,2,3,0,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,3,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,4,,,101.70792478,52,
7984347,1,4,4,1,7,3,,1,3,,,1,1,1,3,1,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,2,1,2,,,1,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,4,,,92.176121215,52,
7984348,1,4,4,1,6,8,,1,3,,,2,1,1,2,0,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,39.838893981,52,
7984351,1,2,2,2,14,3,6,1,1,5,,1,1,1,4,2,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,7,1,2,,,2,,,1,1,1,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,55.223933061,52,
7984358,1,5,3,1,15,3,6,1,1,5,,1,1,2,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,2,1,2,,,2,,,1,1,1,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,85.152977748,52,
7984358,1,5,4,1,14,3,6,1,1,5,,1,1,2,4,1,,1,3,2,,2,2,,,,,,,,,,,,,,,,1,2,1,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,85.152977748,52,
7984358,1,5,5,1,8,3,,1,1,5,,1,1,2,3,2,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,85.152977748,52,
7984371,1,3,3,1,11,3,6,1,1,5,,1,1,1,4,0,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,93.193543339,52,
7984373,1,2,2,2,17,3,6,1,3,,,1,2,,5,2,,1,6,2,,2,2,,,,,,,,,,,,,,,,1,7,1,2,,,2,,,1,1,1,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,64.446740807,52,
7986385,1,3,3,1,5,8,,1,1,5,,2,1,1,2,0,,1,3,2,2,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,4,,,49.403098963,52,
7986387,1,11,4,1,14,3,6,1,3,,,1,1,1,4,1,,1,3,2,,1,,,3,6,,,,,,,,,2,5,5,5,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,5611,56,93.413582378,52,9621
7986387,1,11,7,1,14,8,6,1,3,,,1,1,1,4,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,93.413582378,52,
7986387,1,11,8,1,10,8,6,1,3,,,1,1,1,3,3,,1,3,2,,2,2,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,2,,,,,,2,,,2,,,2,,,,,,93.413582378,52,
